	X1	X2	F1	F2	Current A	Current B	Current lenght	Previous lenght  / (Current lenght
1	0.618034	0.763932	54.493422	52.360680	0.381966	1.000000	1.000000	1.618034
2	0.763932	0.854102	52.360680	51.063859	0.618034	1.000000	0.618034	1.618034
3	0.854102	0.909830	51.063859	50.270510	0.763932	1.000000	0.381966	1.618034
4	0.909830	0.944272	50.270510	49.783299	0.854102	1.000000	0.236068	1.618034
5	0.944272	0.965558	49.783299	49.483372	0.909830	1.000000	0.145898	1.618034
6	0.965558	0.978714	49.483372	49.298460	0.944272	1.000000	0.090170	1.618034
7	0.978714	0.986844	49.298460	49.184352	0.965558	1.000000	0.055728	1.618034
8	0.986844	0.991869	49.184352	49.113895	0.978714	1.000000	0.034442	1.618034
9	0.991869	0.994975	49.113895	49.070375	0.986844	1.000000	0.021286	1.618034
10	0.994975	0.996894	49.070375	49.043488	0.991869	1.000000	0.013156	1.618034
11	0.996894	0.998081	49.043488	49.026875	0.994975	1.000000	0.008131	1.618034
